Command,Description,Syntax,Parameters,Link,Category,Tags
ulimit,Limit user resources •," ulimit [-HS] -a
 ulimit [-HS] [-bcdefiklmnpqrstuvxPRT] [<i>limit</i>]
"," -S Set a soft limit for the given resource.
 -H Set a hard limit for the given resource.
 -a All current limits are reported.
 -b The maximum socket buffer size.
 -c The maximum size of core files created. 
 -d The maximum size of a process's data segment.
 -e The maximum scheduling priority (&quot;nice&quot;) 
 -f The maximum size of files created by the shell(default option).
 -i The maximum number of pending signals.
 -k The maximum number of kqueues that may be allocated.
 -l The maximum size that can be locked into memory. 
 -m The maximum resident set size. 
 -n The maximum number of open file descriptors. 
 -p The pipe buffer size.
 -P The maximum number of pseudoterminals.
 -q The maximum number of bytes in POSIX message queues.
 -r The maximum real-time scheduling priority.
 -R The maximum time a real-time process can run before blocking, in microseconds.
 -s The maximum stack size. 
 -t The maximum amount of cpu time in seconds.
 -T The maximum number of threads.
 -u The maximum number of processes available to a single user.
 -v The maximum amount of virtual memory available to the process.
 -x The maximum number of file locks.</pre>
",https://ss64.com/bash/ulimit.html,System Administration,
umask,Users file creation mask," umask [-p] [-S] [<i>mode</i>]
"," mode File creation mask
 -S Print the mask in symbolic format
 -p Output in a form that can be reused as input</pre>
",https://ss64.com/bash/umask.html,System Administration,User/Group Management
umount,Unmount a device,Not Available,Not Available,No link available,System Administration,Disk/Volume Management
unalias,Remove an alias •," alias [-p] [<i>name</i>[=<i>value</i>] ...]
 unalias [-a] [<i>name</i> ... ]
"," -p Print the current values
 -a Remove All aliases</pre>
",https://ss64.com/bash/alias.html,System Administration,
uname,Print system information," uname [<i>options</i>]...
",Not Available,https://ss64.com/bash/uname.html,Enumeration,
unexpand,Convert spaces to tabs," unexpand [<i>options</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/unexpand.html,System Utility,
uniq,Uniquify files," uniq [<i>options</i>]... [<i>InputFile</i> [<i>OutputFile</i>]]
",Not Available,https://ss64.com/bash/uniq.html,File Manipulation,
units,Convert units from one scale to another," units <i>options</i> [<i>FROM-UNIT</i> [<i>TO-UNIT</i>]]
",Not Available,https://ss64.com/bash/units.html,System Utility,
unix2dos,UNIX to Windows or MAC text file format converter," unix2dos [options] [-c <i>convmode</i>] [-o <i>file</i> ...] [-n <i>infile outfile</i> ...]
"," -h --help Print online help. 
 -k --keepdate Keep the date stamp of output file same as input file. 
 -q --quiet Quiet mode. Suppress all warning and messages.
 -V --version Prints version information.
 -c --convmode <i>convmode</i>
 Set conversion mode.
 Where <i>convmode</i> is one of: ASCII, 7bit, ISO, Mac with ASCII being the default.
 Simulates dos2unix under SunOS.
 -o --oldfile <i>file</i> ...
 Old file mode.
 Convert the file and write output to it. The program defaults to run in this mode.
 Wildcard names may be used.
 -n --newfile <i>infile outfile</i> ...
 New file mode. Convert the infile and write output to outfile.
 File names must be given in pairs and wildcard names should NOT be used or you WILL lose your files.</pre>
",https://ss64.com/bash/unix2dos.html,File Manipulation,
unrar,Extract files from a rar archive," unrar <i>command</i> [-<i>switch_1</i> -<i>switch_N</i>] <i>archive</i> [<i>files</i>...] [<i>path</i>...]</pre>
",Not Available,https://ss64.com/bash/unrar.html,File Manipulation,File Compression
unset,Remove variable or function names," unset [-fv] [<i>name</i>]
",Not Available,https://ss64.com/bash/unset.html,System Utility,
unshar,Unpack shell archive scripts," unshar [<i>options</i>] ... [<i>file</i>... ]
",Not Available,https://ss64.com/bash/unshar.html,File Manipulation,File Compression
until,Execute commands (until error)," until <i>test-commands</i>; do <i>consequent-commands</i>; done</pre>
",Not Available,https://ss64.com/bash/until.html,System Administration,Command Execution
uptime,Show uptime,Not Available,Not Available,No link available,System Administration,
useradd,Create new user account," useradd [<i>options</i>] <i>LOGIN</i>
 useradd -D
 useradd -D [<i>options</i>] </pre>
",Not Available,https://ss64.com/bash/useradd.html,System Administration,User/Group Management
userdel,Delete a user account," userdel [<i>options</i>] <i>LOGIN</i> </pre>
",Not Available,https://ss64.com/bash/userdel.html,System Administration,User/Group Management
usermod,Modify user account," usermod [<i>options</i>] [<i>user</i>]
",Not Available,https://ss64.com/bash/usermod.html,System Administration,User/Group Management
users,List users currently logged in," users [<i>OPTION</i>]... [<i>FILE</i>] 
"," --help display this help and exit
 --version output version information and exit</pre>
",https://ss64.com/bash/users.html,System Administration,User/Group Management
uuencode,Encode a binary file," uu<b>en</b>code [-m] [ <i>file</i> ] <i>name</i>
 uu<b>de</b>code [-o <i>outfile</i>] [ <i>file</i> ]...
"," <i>file</i> An input file to read.
 -m Use base64 encoding instead of UU encoding.
 <i>name</i> Output file.
 -o Output the decoded string to the file <i>outfile</i>
",https://ss64.com/bash/uuencode.html,File Manipulation,Encryption
uudecode,Decode a file created by uuencode," uu<b>en</b>code [-m] [ <i>file</i> ] <i>name</i>
 uu<b>de</b>code [-o <i>outfile</i>] [ <i>file</i> ]...
"," <i>file</i> An input file to read.
 -m Use base64 encoding instead of UU encoding.
 <i>name</i> Output file.
 -o Output the decoded string to the file <i>outfile</i>
",https://ss64.com/bash/uuencode.html,File Manipulation,Encryption
v,Verbosely list directory contents ('ls -l -b'),Not Available,Not Available,https://ss64.com/bash/vdir,"System Utility, Enumeration",
vdir,Verbosely list directory contents ('ls -l -b'),Not Available,Not Available,https://ss64.com/bash/vdir,"System Utility, Enumeration",
vmstat,Report virtual memory statistics," vmstat [-a] [-n] [<i>delay</i> [ <i>count</i>]]
 vmstat [-f] [-s] [-m]
 vmstat [-S unit]
 vmstat [-d]
 vmstat [-p <i>disk-partition</i>]
 vmstat [-V] 
",Not Available,https://ss64.com/bash/vmstat.html,"System Utility, Enumeration",
w,Show who is logged on and what they are doing," w [-hi] [<i>user</i> ...]
",Not Available,https://ss64.com/bash/w.html,Enumeration,
wait,Wait for a process to complete &bull;," wait [<i>n</i> ...]
"," n A process ID or a job specification</pre>
",https://ss64.com/bash/wait.html,System Administration,Command Execution
watch,Execute/display a program periodically," watch [<i>options</i>] <i>command</i> <i>options</i>
",Not Available,https://ss64.com/bash/watch.html,System Administration,Command Execution
wc,"Print byte, word, and line counts"," wc [<i>options</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/wc.html,System Utility,
whereis,"Search the user's $path, man pages and source files for a program"," whereis [<i>options</i>] <i>files</i>
",Not Available,https://ss64.com/bash/whereis.html,System Utility,Search
which,Search the user's $path for a program file," which [<i>options</i>] [--] <i>program_name</i> [...]
",Not Available,https://ss64.com/bash/which.html,System Utility,Search
while,Execute commands," while <i>test-commands</i>; do <i>consequent-commands</i>; done</pre>
",Not Available,https://ss64.com/bash/while.html,System Administration,Command Execution
who,Print all usernames currently logged in," who [<i>options</i>] [<i>file</i>] [am i]
",Not Available,https://ss64.com/bash/who.html,Enumeration,
whoami,Print the current user id and name ('id -un')," whoami [<i>options</i>]
",Not Available,https://ss64.com/bash/whoami.html,Enumeration,
wget,"Retrieve web pages or files via HTTP, HTTPS or FTP",Not Available,Not Available,No link available,"File Manipulation, Remote Connectivity","File Transfer, Web Request"
write,Send a message to another user," write <i>user</i> [<i>ttyname</i>]</pre>
",Not Available,https://ss64.com/bash/write.html,System Utility,
xargs,"Execute utility, passing constructed argument list(s)"," xargs [<i>options</i>] [<i>command</i>]
",Not Available,https://ss64.com/bash/xargs.html,System Administration,Command Execution
xdg-open,Open a file or URL in the user's preferred application.," xdg-open <i>file
 </i>xdg-open<i> URL</i>
 xdg-open --help
 xdg-open --manual
 xdg-open --version 
",Not Available,https://ss64.com/bash/xdg-open.html,"File Manipulation, Remote Connectivity","File Transfer, Web Request"
xxd,Make a hexdump or do the reverse," xxd [<i>options</i>] [<i>infile</i> [<i>outfile</i>]]
 xxd -r[evert] [<i>options</i>] [<i>infile</i> [<i>outfile</i>]]
 xxd -h[elp]
",Not Available,https://ss64.com/bash/xxd.html,System Utility,
xz,Compress or decompress .xz and .lzma files," xz [<i>option</i>]... [<i>file</i>]...
 unxz is equivalent to xz --decompress.
 xzcat is equivalent to xz --decompress --stdout.
 lzma is equivalent to xz --format=lzma.
 unlzma is equivalent to xz --format=lzma --decompress.
 lzcat is equivalent to xz --format=lzma --decompress --stdout.
",Not Available,https://ss64.com/bash/xz.html,File Manipulation,File Compression
unxz,Compress or decompress .xz and .lzma files," xz [<i>option</i>]... [<i>file</i>]...
 unxz is equivalent to xz --decompress.
 xzcat is equivalent to xz --decompress --stdout.
 lzma is equivalent to xz --format=lzma.
 unlzma is equivalent to xz --format=lzma --decompress.
 lzcat is equivalent to xz --format=lzma --decompress --stdout.
",Not Available,https://ss64.com/bash/xz.html,File Manipulation,File Compression
xzcat,Compress or decompress .xz and .lzma files," xz [<i>option</i>]... [<i>file</i>]...
 unxz is equivalent to xz --decompress.
 xzcat is equivalent to xz --decompress --stdout.
 lzma is equivalent to xz --format=lzma.
 unlzma is equivalent to xz --format=lzma --decompress.
 lzcat is equivalent to xz --format=lzma --decompress --stdout.
",Not Available,https://ss64.com/bash/xz.html,File Manipulation,File Compression
lzma,Compress or decompress .xz and .lzma files," xz [<i>option</i>]... [<i>file</i>]...
 unxz is equivalent to xz --decompress.
 xzcat is equivalent to xz --decompress --stdout.
 lzma is equivalent to xz --format=lzma.
 unlzma is equivalent to xz --format=lzma --decompress.
 lzcat is equivalent to xz --format=lzma --decompress --stdout.
",Not Available,https://ss64.com/bash/xz.html,File Manipulation,File Compression
unlzma,Compress or decompress .xz and .lzma files," xz [<i>option</i>]... [<i>file</i>]...
 unxz is equivalent to xz --decompress.
 xzcat is equivalent to xz --decompress --stdout.
 lzma is equivalent to xz --format=lzma.
 unlzma is equivalent to xz --format=lzma --decompress.
 lzcat is equivalent to xz --format=lzma --decompress --stdout.
",Not Available,https://ss64.com/bash/xz.html,File Manipulation,File Compression
lzcat,Compress or decompress .xz and .lzma files," xz [<i>option</i>]... [<i>file</i>]...
 unxz is equivalent to xz --decompress.
 xzcat is equivalent to xz --decompress --stdout.
 lzma is equivalent to xz --format=lzma.
 unlzma is equivalent to xz --format=lzma --decompress.
 lzcat is equivalent to xz --format=lzma --decompress --stdout.
",Not Available,https://ss64.com/bash/xz.html,File Manipulation,File Compression
yes,Print a string until interrupted," yes <i>text</i>
 yes --help
 yes --version
"," text The text to repeat
 --help Display help
 --version Display the version no.
 If no arguments are given, prints 'y' followed by a newline forever until killed.</pre>
",https://ss64.com/bash/yes.html,System Administration,Command Execution
zip,Package and compress (archive) files," zip [-aABcdDeEfFghjklLmoqrRSTuvVwXyz!@$] [--longoption ...]
 [-b <i>path</i>] [-n <i>suffixes</i>] [-t <i>date</i>] [-tt <i>date</i>]
 [<i>zipfile</i> [<i>file</i> ...]] [-xi <i>list</i>] 
",Not Available,https://ss64.com/bash/zip.html,File Manipulation,File Compression
.,Run a command script in the current shell," . <i>filename</i> [<i>arguments</i>]
 source <i>filename</i> [<i>arguments</i>]</pre>
",Not Available,https://ss64.com/bash/source.html,System Administration,Command Execution
!!,Run the last command again," !! Run the last command again
 !<i>foo</i> Run the most recent command that starts with '<i>foo</i>' (e.g. !ls)
 !<i>foo</i>:p Print out the command that !<i>foo</i> would run
 also add it to the command <a href=""history.html"">history</a>
 !$ Run the last word of the previous command (same as Alt + .)
 !$:p Print out the word that !$ would substitute
 !* Run the previous command except for the last word
 !*:p Print out the previous command except for the last word
 ^<i>foo</i>^<i>bar</i> Run the previous command replacing <i>foo</i> with <i>bar</i></pre>
",Not Available,https://ss64.com/bash/bang.html,System Administration,Command Execution
